Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event
1571,7/7/21,Copenhagen Flames,ex-Marlian,Denmark,Ukraine,Ancient,16,3,Domination League Season 2
1572,7/7/21,ex-Marlian,Copenhagen Flames,Ukraine,Denmark,Vertigo,9,16,Domination League Season 2
1573,7/7/21,LDLC,Complexity,France,Europe,Mirage,6,16,IEM Cologne 2021 Play-In
1574,7/7/21,Complexity,LDLC,Europe,France,Dust2,16,13,IEM Cologne 2021 Play-In
1575,7/7/21,Entropiq,DBL PONEY,Russia,France,Dust2,16,6,Pinnacle Cup II
1576,7/7/21,Entropiq,DBL PONEY,Russia,France,Vertigo,4,16,Pinnacle Cup II
1577,7/7/21,DBL PONEY,Entropiq,France,Russia,Overpass,12,16,Pinnacle Cup II
1578,7/7/21,Sprout,TeamOne,Germany,Brazil,Mirage,16,8,IEM Cologne 2021 Play-In
1579,7/7/21,TeamOne,Sprout,Brazil,Germany,Dust2,13,16,IEM Cologne 2021 Play-In
1580,7/7/21,Sprout,TeamOne,Germany,Brazil,Nuke,12,16,IEM Cologne 2021 Play-In
1581,7/7/21,100PG,Copenhagen Flames,Kazakhstan,Denmark,Ancient,4,16,Pinnacle Cup II
1582,7/7/21,100PG,Copenhagen Flames,Kazakhstan,Denmark,Nuke,16,8,Pinnacle Cup II
1583,7/7/21,Copenhagen Flames,100PG,Denmark,Kazakhstan,Inferno,19,17,Pinnacle Cup II
1584,7/7/21,AGO,TeamOne,Poland,Brazil,Inferno,12,16,Pinnacle Cup II
1585,7/7/21,TeamOne,AGO,Brazil,Poland,Ancient,4,16,Pinnacle Cup II
1586,6/7/21,BIG,OG,Germany,Europe,Mirage,19,17,IEM Cologne 2021 Play-In
1587,6/7/21,OG,BIG,Europe,Germany,Dust2,9,16,IEM Cologne 2021 Play-In
1588,6/7/21,Renegades,MIBR,Australia,Brazil,Mirage,16,14,IEM Cologne 2021 Play-In
1589,6/7/21,MIBR,Renegades,Brazil,Australia,Vertigo,15,19,IEM Cologne 2021 Play-In
1590,6/7/21,FaZe,Complexity,Europe,Europe,Nuke,16,6,IEM Cologne 2021 Play-In
1591,6/7/21,Complexity,FaZe,Europe,Europe,Dust2,13,16,IEM Cologne 2021 Play-In
1592,6/7/21,Spirit,Vitality,Russia,France,Nuke,12,16,IEM Cologne 2021 Play-In
1593,6/7/21,Spirit,Vitality,Russia,France,Mirage,13,16,IEM Cologne 2021 Play-In
1594,6/7/21,Vitality,Spirit,France,Russia,Dust2,14,16,IEM Cologne 2021 Play-In
1595,6/7/21,MOUZ,NIP,Europe,Sweden,Ancient,11,16,IEM Cologne 2021 Play-In
1596,6/7/21,NIP,MOUZ,Sweden,Europe,Mirage,16,8,IEM Cologne 2021 Play-In
1597,6/7/21,FaZe,Evil Geniuses,Europe,North America,Mirage,16,12,IEM Cologne 2021 Play-In
1598,6/7/21,TeamOne,OG,Brazil,Europe,Inferno,6,16,IEM Cologne 2021 Play-In
1599,6/7/21,Young Ninjas,forZe,Sweden,Russia,Mirage,5,16,Domination League Season 2
1600,6/7/21,forZe,Young Ninjas,Russia,Sweden,Inferno,16,11,Domination League Season 2
1601,6/7/21,Sprout,BIG,Germany,Germany,Dust2,8,16,IEM Cologne 2021 Play-In
1602,6/7/21,Renegades,Vitality,Australia,France,Overpass,6,16,IEM Cologne 2021 Play-In
1603,6/7/21,Spirit,MIBR,Russia,Brazil,Inferno,22,18,IEM Cologne 2021 Play-In
1604,6/7/21,LDLC,NIP,France,Sweden,Ancient,6,16,IEM Cologne 2021 Play-In
1605,6/7/21,Entropiq,100PG,Russia,Kazakhstan,Dust2,16,12,Pinnacle Cup II
1606,6/7/21,100PG,Entropiq,Kazakhstan,Russia,Nuke,7,16,Pinnacle Cup II
1607,5/7/21,SKADE,1WIN,Bulgaria,Russia,Vertigo,16,14,ESEA Advanced Season 37 Europe
1608,5/7/21,1WIN,SKADE,Russia,Bulgaria,Mirage,10,16,ESEA Advanced Season 37 Europe
1609,5/7/21,MIBR,Endpoint,Brazil,United Kingdom,Vertigo,16,19,Pinnacle Cup II
1610,5/7/21,MIBR,Endpoint,Brazil,United Kingdom,Overpass,22,20,Pinnacle Cup II
1611,5/7/21,Endpoint,MIBR,United Kingdom,Brazil,Ancient,16,14,Pinnacle Cup II
1612,5/7/21,Movistar Riders,SAW,Europe,Portugal,Nuke,16,14,ESEA Premier Season 37 Europe
1613,5/7/21,SAW,Movistar Riders,Portugal,Europe,Overpass,11,16,ESEA Premier Season 37 Europe
1614,5/7/21,SKADE,MOUZ NXT,Bulgaria,Europe,Mirage,16,14,Pinnacle Cup II
1615,5/7/21,MOUZ NXT,SKADE,Europe,Bulgaria,Inferno,14,16,Pinnacle Cup II
1616,5/7/21,Lyngby Vikings,ENCE,Denmark,Europe,Nuke,12,16,Pinnacle Cup II
1617,5/7/21,ENCE,Lyngby Vikings,Europe,Denmark,Overpass,16,8,Pinnacle Cup II
1618,5/7/21,Sinners,Fiend,Czech Republic,Bulgaria,Mirage,16,7,Pinnacle Cup II
1619,5/7/21,Fiend,Sinners,Bulgaria,Czech Republic,Inferno,19,22,Pinnacle Cup II
